label,name,x,y,z
1,Precentral_L,-38.91,-6.9,49.49
2,Precentral_R,41.26,-9.17,50.16
3,Frontal_Sup_2_L,-20.32,34.72,35.53
4,Frontal_Sup_2_R,22.56,33.08,37.08
5,Frontal_Mid_2_L,-35.6,33.41,28.69
6,Frontal_Mid_2_R,38.97,32.39,28.93
7,Frontal_Inf_Oper_L,-48.59,11.43,18.39
8,Frontal_Inf_Oper_R,49.81,13.66,20.39
9,Frontal_Inf_Tri_L,-45.87,28.42,12.91
10,Frontal_Inf_Tri_R,49.41,28.78,13.42
11,Frontal_Inf_Orb_2_L,-41.28,31.02,-8.1
12,Frontal_Inf_Orb_2_R,45.75,33.24,-8.05
13,Rolandic_Oper_L,-47.49,-9.95,12.69
14,Rolandic_Oper_R,52.26,-7.82,13.4
15,Supp_Motor_Area_L,-5.67,3.39,59.82
16,Supp_Motor_Area_R,8.22,-1.35,60.24
17,Olfactory_L,-8.06,13.41,-12.86
18,Olfactory_R,10.11,14.45,-12.82
19,Frontal_Sup_Medial_L,-5.35,47.45,29.69
20,Frontal_Sup_Medial_R,8.75,49.08,29.4
21,Frontal_Med_Orb_L,-5.47,52.06,-8.93
22,Frontal_Med_Orb_R,7.73,49.64,-8.67
23,Rectus_L,-5.43,36.16,-19.5
24,Rectus_R,8.0,34.75,-19.34
25,OFCmed_L,-14.24,35.84,-21.08
26,OFCmed_R,16.35,37.43,-21.26
27,OFCant_L,-25.43,46.78,-16.15
28,OFCant_R,28.9,48.9,-16.19
29,OFCpost_L,-28.68,23.32,-19.58
30,OFCpost_R,32.88,24.76,-19.54
31,OFClat_L,-42.41,40.05,-15.22
32,OFClat_R,47.85,36.76,-16.34
33,Insula_L,-35.06,4.66,2.47
34,Insula_R,38.21,4.32,1.35
37,Cingulate_Mid_L,-5.9,-15.18,40.06
38,Cingulate_Mid_R,7.67,-9.63,38.27
39,Cingulate_Post_L,-5.1,-44.02,23.15
40,Cingulate_Post_R,7.08,-42.71,20.2
41,Hippocampus_L,-25.12,-23.12,-10.51
42,Hippocampus_R,28.99,-21.74,-11.1
43,ParaHippocampal_L,-21.49,-18.18,-21.39
44,ParaHippocampal_R,25.16,-17.16,-21.19
45,Amygdala_L,-23.52,-1.95,-18.38
46,Amygdala_R,27.07,-0.57,-18.8
47,Calcarine_L,-7.74,-79.01,5.11
48,Calcarine_R,15.88,-74.69,7.68
49,Cuneus_L,-6.7,-80.55,25.61
50,Cuneus_R,13.43,-81.7,26.62
51,Lingual_L,-15.2,-69.29,-6.5
52,Lingual_R,15.73,-67.43,-5.1
